frame,inference,cpu,ram
256,0.029345989227294922,17.2,59.0
257,0.029612064361572266,26.9,59.0
258,0.02929091453552246,20.7,59.0
259,0.02985405921936035,28.1,59.0
260,0.030106067657470703,30.3,59.0
261,0.030233144760131836,30.0,59.0
262,0.030167102813720703,17.9,59.0
263,0.02970099449157715,32.3,59.0
264,0.029851913452148438,20.0,59.0
265,0.029861927032470703,37.5,59.0
266,0.029587984085083008,19.4,59.0
267,0.0296478271484375,23.3,59.0
268,0.029185771942138672,25.0,59.0
269,0.02924489974975586,23.3,59.0
270,0.029556989669799805,18.5,59.0
271,0.029520034790039062,29.4,59.0
272,0.0450749397277832,54.3,59.0
273,0.029931068420410156,25.0,59.0
274,0.029970884323120117,23.1,59.0
275,0.02959585189819336,29.0,59.0
276,0.02963423728942871,25.8,59.0
277,0.029863357543945312,23.3,59.0
278,0.029957056045532227,27.6,59.0
279,0.030476808547973633,25.8,59.0
280,0.029577970504760742,20.7,59.0
281,0.02940988540649414,23.3,59.0
282,0.029649734497070312,29.0,59.0
283,0.029660940170288086,25.0,59.0
284,0.030097246170043945,25.0,59.0
285,0.030138254165649414,28.1,59.0
286,0.029607057571411133,25.8,59.0
287,0.03421902656555176,39.4,58.9
288,0.03123188018798828,24.2,58.9
289,0.0322721004486084,25.8,58.9
290,0.03146195411682129,21.9,58.9
291,0.029539823532104492,31.3,58.9
292,0.02938222885131836,27.6,58.9
293,0.029515981674194336,24.1,58.9
294,0.030462026596069336,24.2,58.9
295,0.030168771743774414,24.1,58.9
296,0.031176090240478516,30.3,59.0
297,0.030781269073486328,21.2,59.0
298,0.030138015747070312,32.1,59.0
299,0.029636144638061523,23.3,59.0
300,0.02979898452758789,17.9,58.9
301,0.028786182403564453,25.0,58.9
302,0.030137062072753906,18.5,58.9
